City_ID,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current_Description
458,458,Gambiran,-6.7988,111.4951,79.16,70,81,2.44,ID,2021-10-10 16:20:59,broken clouds
465,465,Ewa Beach,21.3156,-158.0072,75.15,74,75,15.99,US,2021-10-10 16:17:59,broken clouds
467,467,Keningau,5.3378,116.1602,77.45,93,100,1.57,MY,2021-10-10 16:21:03,light rain
471,471,Shenjiamen,29.9576,122.298,77.41,87,5,7.11,CN,2021-10-10 16:21:04,clear sky
472,472,San Andres,12.5847,-81.7006,87.82,74,40,12.66,CO,2021-10-10 16:15:36,scattered clouds
474,474,Enid,36.3956,-97.8784,77.16,59,1,5.01,US,2021-10-10 16:21:05,clear sky
477,477,Dhone,15.4167,77.8833,79.45,78,89,2.48,IN,2021-10-10 16:21:06,overcast clouds
479,479,Roebourne,-20.7833,117.1333,76.75,38,5,8.79,AU,2021-10-10 16:21:06,clear sky
482,482,Sur,22.5667,59.5289,83.82,59,3,2.1,OM,2021-10-10 16:20:48,clear sky
488,488,Mwinilunga,-11.7358,24.4293,87.69,19,16,6.49,ZM,2021-10-10 16:21:09,few clouds
489,489,Ambon,-3.6954,128.1814,77.14,94,20,8.05,ID,2021-10-10 16:20:23,few clouds
492,492,Otse,-25.0167,25.7333,83.57,12,0,6.02,BW,2021-10-10 16:21:10,clear sky
494,494,Quelimane,-17.8786,36.8883,78.75,83,75,6.91,MZ,2021-10-10 16:21:11,broken clouds
495,495,Camargo,27.6667,-105.1667,79.07,29,5,11.83,MX,2021-10-10 16:21:11,clear sky
496,496,Bhinga,27.7167,81.9333,75.43,67,8,3.71,IN,2021-10-10 16:21:12,clear sky
504,504,Zwedru,6.0667,-8.1281,80.11,89,94,4.05,LR,2021-10-10 16:21:14,moderate rain
508,508,Adre,13.4667,22.2,88.95,22,9,1.81,TD,2021-10-10 16:17:20,clear sky
512,512,Upata,8.0086,-62.3989,86.2,53,62,6.26,VE,2021-10-10 16:21:16,broken clouds
513,513,Karratha,-20.7377,116.8463,76.23,43,5,8.52,AU,2021-10-10 16:29:51,clear sky
514,514,Banda Aceh,5.5577,95.3222,80.4,81,96,16.2,ID,2021-10-10 16:20:58,overcast clouds
515,515,Pilani,28.3684,75.6041,87.37,30,0,7.85,IN,2021-10-10 16:21:17,clear sky
517,517,Columbus,39.9612,-82.9988,79.29,70,40,3.0,US,2021-10-10 16:16:47,scattered clouds
520,520,Basco,20.4487,121.9702,80.22,87,100,39.53,PH,2021-10-10 16:21:18,overcast clouds
521,521,Catamarca,-28.4696,-65.7852,80.78,45,10,1.99,AR,2021-10-10 16:20:47,clear sky
527,527,Salinopolis,-0.6136,-47.3561,85.93,65,15,14.05,BR,2021-10-10 16:21:19,few clouds
529,529,Sechura,-5.5569,-80.8222,75.61,62,26,9.93,PE,2021-10-10 16:19:59,scattered clouds
531,531,Porto Santo,33.072,-16.3415,75.11,64,40,14.97,PT,2021-10-10 16:21:21,scattered clouds
534,534,Bathsheba,13.2167,-59.5167,83.01,83,75,23.02,BB,2021-10-10 16:21:14,broken clouds
535,535,Big Spring,32.2504,-101.4787,86.27,41,1,8.99,US,2021-10-10 16:21:21,clear sky
536,536,San Cristobal,7.7669,-72.225,77.18,62,93,2.75,VE,2021-10-10 16:20:58,overcast clouds
537,537,Pringsewu,-5.3582,104.9744,75.16,93,36,3.76,ID,2021-10-10 16:21:22,scattered clouds
539,539,Thibodaux,29.7958,-90.8229,85.01,71,4,8.01,US,2021-10-10 16:21:23,clear sky
540,540,Angoche,-16.2325,39.9086,78.06,83,1,17.29,MZ,2021-10-10 16:21:23,clear sky
541,541,Virginia Beach,36.8529,-75.978,75.99,79,90,4.0,US,2021-10-10 16:25:41,overcast clouds
542,542,Mossendjo,-2.9506,12.7261,78.04,72,100,2.53,CG,2021-10-10 16:21:23,overcast clouds
544,544,Kahului,20.8947,-156.47,75.85,82,20,9.22,US,2021-10-10 16:19:56,few clouds
546,546,Ode,7.7899,5.7117,80.08,79,97,3.87,NG,2021-10-10 16:21:24,light rain
548,548,Jalu,29.0331,21.5482,86.52,20,0,8.79,LY,2021-10-10 16:21:25,clear sky
550,550,Sola,-13.8833,167.55,79.88,78,99,17.49,VU,2021-10-10 16:21:25,overcast clouds
551,551,Maningrida,-12.0667,134.2667,77.49,84,95,3.44,AU,2021-10-10 16:20:19,overcast clouds
552,552,Long Xuyen,10.3833,105.4167,76.95,85,100,9.01,VN,2021-10-10 16:21:26,overcast clouds
559,559,Kuito,-12.3833,16.9333,84.16,21,86,2.06,AO,2021-10-10 16:21:27,overcast clouds
569,569,Mana,5.6592,-53.7767,87.73,61,99,9.6,GF,2021-10-10 16:21:30,overcast clouds
573,573,Sri Aman,1.2376,111.4621,75.25,88,99,0.0,MY,2021-10-10 16:21:31,overcast clouds
574,574,Colares,38.7992,-9.4469,80.46,54,0,4.0,PT,2021-10-10 16:21:31,clear sky
576,576,Japura,-0.3167,102.35,76.06,96,99,0.38,ID,2021-10-10 16:21:32,overcast clouds
579,579,Kamina,-8.7386,24.9906,84.15,27,60,1.97,CD,2021-10-10 16:21:33,broken clouds
580,580,Padang,-0.9492,100.3543,76.71,93,100,3.33,ID,2021-10-10 16:29:59,overcast clouds
581,581,Da Nang,16.0678,108.2208,80.65,94,20,0.0,VN,2021-10-10 16:17:33,few clouds
582,582,Qui Nhon,13.7667,109.2333,80.19,86,98,3.31,VN,2021-10-10 16:29:59,overcast clouds
584,584,Jasper,37.2001,-94.3502,80.46,63,40,5.01,US,2021-10-10 16:21:34,scattered clouds
585,585,Havelock,34.8791,-76.9013,75.06,93,90,5.01,US,2021-10-10 16:21:34,overcast clouds
588,588,Jiazi,22.8779,116.067,79.86,81,48,5.41,CN,2021-10-10 16:20:41,scattered clouds
598,598,Mahenge,-8.6833,36.7167,76.28,36,89,5.23,TZ,2021-10-10 16:21:37,overcast clouds
600,600,Esparta,15.7437,-87.1766,88.59,62,91,4.56,HN,2021-10-10 16:21:38,overcast clouds
601,601,Muros,42.7762,-9.0603,75.69,44,1,10.83,ES,2021-10-10 16:21:38,clear sky
605,605,Katherine,-14.4667,132.2667,86.32,51,100,10.36,AU,2021-10-10 16:30:04,light rain
608,608,Acapulco,16.8634,-99.8901,84.02,74,75,5.75,MX,2021-10-10 16:21:40,broken clouds
612,612,Villarrica,-25.75,-56.4333,77.67,71,91,6.44,PY,2021-10-10 16:21:41,overcast clouds
617,617,Morehead,37.2711,-87.1764,80.94,66,1,5.01,US,2021-10-10 16:18:58,clear sky
621,621,Lata,40.1629,-8.3327,81.91,44,96,6.11,PT,2021-10-10 16:20:27,overcast clouds
625,625,Minab,27.1467,57.0801,87.3,41,0,3.47,IR,2021-10-10 16:21:45,clear sky
633,633,Mangrol,21.1167,70.1167,82.99,76,11,4.81,IN,2021-10-10 16:21:47,few clouds
640,640,Cuamba,-14.8031,36.5372,87.71,21,67,4.45,MZ,2021-10-10 16:21:50,broken clouds
642,642,Viransehir,37.2353,39.7631,78.21,16,0,7.07,TR,2021-10-10 16:21:50,clear sky
644,644,Kandrian,-6.2167,149.55,76.15,93,100,2.66,PG,2021-10-10 16:21:22,light rain
647,647,Dakar,14.6937,-17.4441,87.93,70,40,11.5,SN,2021-10-10 16:27:02,scattered clouds
651,651,Basoko,1.2391,23.616,81.55,72,96,4.68,CD,2021-10-10 16:21:53,overcast clouds
654,654,Inongo,-1.95,18.2667,79.86,77,100,6.76,CD,2021-10-10 16:21:54,light rain
655,655,Claveria,18.6074,121.0832,79.47,88,100,14.63,PH,2021-10-10 16:21:54,light rain
656,656,Lumut,4.2323,100.6298,80.62,89,20,0.0,MY,2021-10-10 16:21:54,few clouds
657,657,Bubaque,11.2833,-15.8333,82.54,75,97,11.1,GW,2021-10-10 16:20:47,overcast clouds
658,658,General Delgado,-27.1667,-56.5167,80.62,59,70,6.33,PY,2021-10-10 16:21:55,broken clouds
661,661,Mwanza,-2.5167,32.9,77.63,62,92,8.5,TZ,2021-10-10 16:21:55,overcast clouds
665,665,La Romana,18.4273,-68.9728,89.96,70,75,11.5,DO,2021-10-10 16:21:57,broken clouds
666,666,Bambanglipuro,-7.95,110.2833,77.4,81,80,5.08,ID,2021-10-10 16:21:57,broken clouds
674,674,Ierapetra,35.01,25.7353,76.14,71,0,4.0,GR,2021-10-10 16:21:59,clear sky
680,680,Gamba,-2.65,10.0,78.26,78,100,7.23,GA,2021-10-10 16:22:01,overcast clouds
682,682,Caiaponia,-16.9567,-51.8103,88.77,35,66,12.55,BR,2021-10-10 16:22:02,broken clouds
687,687,Port Hueneme,34.1478,-119.1951,76.62,46,1,4.61,US,2021-10-10 16:22:04,clear sky
689,689,Castro Verde,37.6983,-8.0858,81.82,32,46,5.86,PT,2021-10-10 16:22:04,scattered clouds
690,690,Santa Fe,-31.6333,-60.7,77.02,60,83,4.0,AR,2021-10-10 16:22:05,broken clouds
693,693,Ashta,23.0167,76.7167,78.46,58,13,1.54,IN,2021-10-10 16:22:05,few clouds
695,695,Santa Rosa,14.3122,121.1114,81.1,82,57,8.99,PH,2021-10-10 16:22:06,broken clouds
698,698,Matara,5.9485,80.5353,77.85,91,81,10.2,LK,2021-10-10 16:30:17,broken clouds
700,700,Erzin,36.9559,36.2,78.01,41,0,3.56,TR,2021-10-10 16:22:08,clear sky
701,701,Dickinson,29.4608,-95.0513,87.21,75,75,5.01,US,2021-10-10 16:22:08,broken clouds
705,705,Avera,33.194,-82.5271,78.67,59,53,8.72,US,2021-10-10 16:30:18,broken clouds
706,706,Luba,3.4568,8.5547,79.0,83,100,0.69,GQ,2021-10-10 16:22:09,light rain
710,710,Magnolia,33.2671,-93.2393,81.66,54,6,11.68,US,2021-10-10 16:22:10,clear sky
711,711,Nishihara,26.1842,127.7558,82.45,88,90,17.27,JP,2021-10-10 16:22:10,light rain
713,713,Gat,31.61,34.7642,79.39,57,0,10.29,IL,2021-10-10 16:22:11,clear sky
