City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current_Description
141,Port Alfred,-33.5906,26.891,62.73,57,18,17.52,ZA,2021-10-10 16:19:24,few clouds
142,Liepaja,56.5419,21.0367,49.98,76,75,5.75,LV,2021-10-10 16:19:25,broken clouds
143,Souillac,-20.5167,57.5167,73.36,94,75,3.44,MU,2021-10-10 16:19:25,light rain
144,Mareeba,-17.0,145.4333,66.92,95,12,2.84,AU,2021-10-10 16:19:26,few clouds
145,Makakilo City,21.3469,-158.0858,73.72,74,90,11.5,US,2021-10-10 16:19:26,overcast clouds
146,Peniche,39.3558,-9.3811,83.88,68,80,8.01,PT,2021-10-10 16:19:26,broken clouds
147,Yulara,-25.2406,130.9889,55.24,67,90,8.05,AU,2021-10-10 16:29:01,overcast clouds
148,Imamoglu,37.2651,35.6572,79.02,29,0,6.11,TR,2021-10-10 16:19:27,clear sky
149,Dukat,62.55,155.55,10.17,78,3,5.97,RU,2021-10-10 16:19:27,clear sky
150,Surgut,61.25,73.4167,28.58,80,40,6.71,RU,2021-10-10 16:19:27,scattered clouds
151,Arraial Do Cabo,-22.9661,-42.0278,71.56,83,90,14.97,BR,2021-10-10 16:19:28,light rain
152,Srednekolymsk,67.45,153.6833,7.97,94,14,3.24,RU,2021-10-10 16:19:28,few clouds
153,Qaanaaq,77.484,-69.3632,29.44,86,100,9.91,GL,2021-10-10 16:19:06,overcast clouds
154,Yerbogachen,61.2767,108.0108,31.32,79,93,14.14,RU,2021-10-10 16:19:02,overcast clouds
155,Akyab,20.15,92.9,83.34,79,100,4.41,MM,2021-10-10 16:19:28,overcast clouds
156,Prainha,-1.8,-53.48,95.88,39,100,5.97,BR,2021-10-10 16:19:29,overcast clouds
157,Emba,48.8264,58.1442,47.66,56,11,7.74,KZ,2021-10-10 16:19:29,few clouds
158,Umm Kaddadah,13.6017,26.6876,97.84,14,94,9.84,SD,2021-10-10 16:19:29,overcast clouds
159,Matagami,49.7502,-77.6328,60.91,100,90,11.5,CA,2021-10-10 16:19:30,overcast clouds
160,Palembang,-2.9167,104.7458,77.92,83,77,3.36,ID,2021-10-10 16:19:30,broken clouds
161,Saskylakh,71.9167,114.0833,11.37,97,100,6.8,RU,2021-10-10 16:19:18,overcast clouds
162,Okhotsk,59.3833,143.3,23.14,83,5,6.8,RU,2021-10-10 16:19:31,clear sky
163,Jemnice,49.019,15.5699,51.85,58,77,4.23,CZ,2021-10-10 16:19:31,broken clouds
164,Menongue,-14.6585,17.691,97.77,10,97,9.04,AO,2021-10-10 16:19:31,overcast clouds
165,Corn Island,12.1694,-83.0418,82.45,78,99,11.92,NI,2021-10-10 16:19:32,overcast clouds
166,Esmeraldas,-19.7625,-44.3139,72.64,89,100,8.99,BR,2021-10-10 16:19:00,overcast clouds
167,Surt,31.2089,16.5887,78.64,62,54,18.25,LY,2021-10-10 16:19:32,broken clouds
168,Qostanay,53.1667,63.5833,40.78,85,100,8.63,KZ,2021-10-10 16:19:32,overcast clouds
169,Thinadhoo,0.5333,72.9333,84.13,71,99,14.34,MV,2021-10-10 16:19:28,overcast clouds
170,Carnarvon,-24.8667,113.6333,66.27,72,0,17.27,AU,2021-10-10 16:29:04,clear sky
171,Mirnyy,62.5353,113.9611,30.04,86,100,16.62,RU,2021-10-10 16:19:33,overcast clouds
172,Tiksi,71.6872,128.8694,26.91,89,100,3.89,RU,2021-10-10 16:29:04,overcast clouds
173,Coquimbo,-29.9533,-71.3436,64.13,48,0,13.8,CL,2021-10-10 16:17:21,clear sky
174,Bundaberg,-24.85,152.35,70.09,78,1,3.0,AU,2021-10-10 16:19:33,clear sky
175,Khandbari,27.3747,87.2039,68.4,90,16,3.36,NP,2021-10-10 16:19:34,few clouds
176,Luanda,-8.8368,13.2343,77.0,73,20,11.5,AO,2021-10-10 16:24:32,few clouds
177,Manokwari,-0.8667,134.0833,78.3,85,65,4.68,ID,2021-10-10 16:19:34,broken clouds
178,Bodden Town,19.2833,-81.25,87.98,71,20,4.0,KY,2021-10-10 16:19:34,few clouds
179,Greenock,55.9484,-4.7612,55.31,82,97,12.39,GB,2021-10-10 16:19:35,overcast clouds
180,Constitucion,-35.3333,-72.4167,59.49,61,14,8.79,CL,2021-10-10 16:19:35,few clouds
181,Savinka,50.0785,47.0994,50.16,42,0,5.77,RU,2021-10-10 16:19:36,clear sky
182,Batken,39.8333,71.0,29.35,76,97,0.76,KG,2021-10-10 16:19:36,overcast clouds
183,Maicao,11.3832,-72.2432,85.19,70,72,8.9,CO,2021-10-10 16:19:36,broken clouds
184,Shache,38.4167,77.2406,51.64,28,98,13.65,CN,2021-10-10 16:19:37,overcast clouds
185,Lobito,-12.3481,13.5456,74.5,82,64,8.14,AO,2021-10-10 16:19:37,broken clouds
186,Astorga,-23.2325,-51.6656,70.2,86,100,10.54,BR,2021-10-10 16:18:01,overcast clouds
187,Patiya,22.2931,91.9762,78.93,91,81,2.33,BD,2021-10-10 16:19:37,broken clouds
188,Nantucket,41.2835,-70.0995,66.31,76,90,14.97,US,2021-10-10 16:19:38,overcast clouds
189,Cidreira,-30.1811,-50.2056,66.34,80,87,16.96,BR,2021-10-10 16:29:06,overcast clouds
190,Henties Bay,-22.116,14.2845,65.86,60,6,8.16,NA,2021-10-10 16:29:07,clear sky
191,Adeje,28.1227,-16.726,76.08,64,40,17.27,ES,2021-10-10 16:19:39,scattered clouds
192,Morgan City,29.6994,-91.2068,85.03,74,75,8.05,US,2021-10-10 16:19:39,broken clouds
193,Homer,59.6425,-151.5483,44.8,81,20,16.11,US,2021-10-10 16:19:39,few clouds
194,Tasiilaq,65.6145,-37.6368,33.96,60,0,3.98,GL,2021-10-10 16:19:11,clear sky
195,Carmen,18.6333,-91.8333,84.24,84,40,5.75,MX,2021-10-10 16:19:40,scattered clouds
196,Mali,12.079,-12.2982,73.31,67,54,2.46,GN,2021-10-10 16:19:40,light rain
197,Ambilobe,-13.2,49.05,78.46,57,97,4.85,MG,2021-10-10 16:19:40,overcast clouds
198,Lavrentiya,65.5833,-171.0,27.25,81,23,2.98,RU,2021-10-10 16:19:40,few clouds
199,Brae,60.3964,-1.353,51.71,88,40,25.21,GB,2021-10-10 16:19:41,scattered clouds
200,Sorland,67.667,12.6934,48.27,82,100,9.89,NO,2021-10-10 16:29:08,overcast clouds
201,Ossora,59.2353,163.0719,31.44,78,9,5.44,RU,2021-10-10 16:19:41,clear sky
202,Tukrah,32.5341,20.5791,79.36,47,0,7.47,LY,2021-10-10 16:19:42,clear sky
203,Storforshei,66.4043,14.5233,65.98,48,75,9.22,NO,2021-10-10 16:19:42,broken clouds
204,Richards Bay,-28.783,32.0377,64.36,65,97,11.61,ZA,2021-10-10 16:29:09,overcast clouds
205,Merke,42.8728,73.1786,42.42,81,100,5.23,KZ,2021-10-10 16:19:42,overcast clouds
206,Tiznit,29.5833,-9.5,83.46,24,100,2.33,MA,2021-10-10 16:19:43,overcast clouds
207,Along,28.1667,94.7667,73.18,93,11,1.88,IN,2021-10-10 16:19:43,few clouds
208,Potosi,-19.5836,-65.7531,62.33,20,0,17.49,BO,2021-10-10 16:19:44,clear sky
209,Almoradi,38.1088,-0.792,77.61,63,100,8.01,ES,2021-10-10 16:19:44,overcast clouds
210,Saldanha,-33.0117,17.9442,62.55,65,90,10.65,ZA,2021-10-10 16:19:31,overcast clouds
211,Rawson,-43.3002,-65.1023,77.41,23,0,4.56,AR,2021-10-10 16:19:44,clear sky
212,Samarai,-10.6167,150.6667,78.96,80,100,11.34,PG,2021-10-10 16:19:45,overcast clouds
213,Sisimiut,66.9395,-53.6735,36.21,68,100,8.97,GL,2021-10-10 16:19:45,overcast clouds
214,Dingle,10.9995,122.6711,75.61,93,100,8.41,PH,2021-10-10 16:19:45,overcast clouds
215,Kishi,9.0833,3.85,88.39,58,65,2.98,NG,2021-10-10 16:19:46,broken clouds
216,Dovolnoye,54.4958,79.6671,40.17,93,98,6.38,RU,2021-10-10 16:19:42,light rain
217,Iqaluit,63.7506,-68.5145,40.73,70,20,2.3,CA,2021-10-10 16:19:38,few clouds
218,Salalah,17.0151,54.0924,80.69,83,75,8.05,OM,2021-10-10 16:19:46,broken clouds
219,Yorosso,12.3536,-4.7761,95.23,31,61,2.06,ML,2021-10-10 16:19:47,broken clouds
220,Turukhansk,65.8167,87.9833,27.32,68,95,9.73,RU,2021-10-10 16:29:11,overcast clouds
221,Sumbe,-11.2061,13.8437,75.83,77,37,4.34,AO,2021-10-10 16:19:47,scattered clouds
222,Tabou,4.423,-7.3528,80.94,77,100,8.5,CI,2021-10-10 16:19:47,overcast clouds
223,Doha,25.2867,51.5333,91.38,36,0,9.22,QA,2021-10-10 16:19:48,clear sky
224,Davlekanovo,54.2215,55.0343,46.42,78,99,4.63,RU,2021-10-10 16:19:48,overcast clouds
225,Tocopilla,-22.092,-70.1979,69.22,62,14,10.09,CL,2021-10-10 16:19:48,few clouds
226,Young,-32.6833,-57.6333,72.23,79,100,12.19,UY,2021-10-10 16:19:49,overcast clouds
227,Hornepayne,49.2138,-84.7705,63.57,81,100,8.68,CA,2021-10-10 16:19:49,overcast clouds
228,Borogontsy,62.6683,131.1683,34.05,98,100,7.27,RU,2021-10-10 16:19:49,light rain
229,Bahia Blanca,-38.7196,-62.2724,73.38,30,0,5.57,AR,2021-10-10 16:19:50,clear sky
230,Alice Springs,-23.7,133.8833,60.35,77,90,12.66,AU,2021-10-10 16:19:18,overcast clouds
231,Puerto Escondido,15.85,-97.0667,85.23,64,92,3.2,MX,2021-10-10 16:19:50,overcast clouds
232,Zeulenroda,50.65,11.9833,53.15,64,6,0.78,DE,2021-10-10 16:19:51,clear sky
233,Meadow Lake,34.8014,-106.5436,61.48,34,26,23.15,US,2021-10-10 16:19:51,scattered clouds
234,Creel,27.75,-107.6333,62.15,40,0,14.32,MX,2021-10-10 16:19:51,clear sky
235,Nanganga,-10.3833,39.15,76.08,71,95,11.5,TZ,2021-10-10 16:19:52,overcast clouds
236,San Borja,-14.8167,-66.85,100.26,33,88,7.83,BO,2021-10-10 16:19:52,overcast clouds
237,Kirakira,-10.4544,161.9205,77.5,87,99,4.03,SB,2021-10-10 16:19:52,overcast clouds
238,Mehamn,71.0357,27.8492,44.78,93,0,6.91,NO,2021-10-10 16:29:13,clear sky
239,Mahon,39.8885,4.2658,68.56,68,20,8.05,ES,2021-10-10 16:19:53,few clouds
240,Sucua,-2.4667,-78.1667,75.94,78,75,2.3,EC,2021-10-10 16:19:53,light rain
241,Hernani,43.2662,-1.9762,67.91,72,75,1.99,ES,2021-10-10 16:19:54,broken clouds
242,Bar Harbor,44.3876,-68.2039,59.92,81,90,1.99,US,2021-10-10 16:19:54,overcast clouds
243,Tombouctou,20.0,-3.0,102.83,5,78,8.63,ML,2021-10-10 16:19:54,broken clouds
244,Kurilsk,45.2333,147.8833,59.7,94,100,21.56,RU,2021-10-10 16:19:55,moderate rain
245,Puerto Ayora,-0.7393,-90.3518,71.55,87,84,8.99,EC,2021-10-10 16:29:14,broken clouds
246,Broken Hill,-31.95,141.4333,48.87,57,98,22.19,AU,2021-10-10 16:19:55,overcast clouds
